category_id,indoor_model,indoor_series,mapping_status,reason,schema_id,source_equipment_type,system_category
27,FBA100BVMA9,Áp suất tĩnh trung bình,NEEDS_SCHEMA_EXTENSION,Existing category is truthful; current v1 schema lacks commercial fields.,skyair-ducted-v1,ducted,Điều hòa giấu trần nối ống gió
27,FBA125BVMA9,Áp suất tĩnh trung bình,NEEDS_SCHEMA_EXTENSION,Existing category is truthful; current v1 schema lacks commercial fields.,skyair-ducted-v1,ducted,Điều hòa giấu trần nối ống gió
27,FBA140BVMA,Áp suất tĩnh trung bình,NEEDS_SCHEMA_EXTENSION,Existing category is truthful; current v1 schema lacks commercial fields.,skyair-ducted-v1,ducted,Điều hòa giấu trần nối ống gió
27,FBA140BVMA9,Áp suất tĩnh trung bình,NEEDS_SCHEMA_EXTENSION,Existing category is truthful; current v1 schema lacks commercial fields.,skyair-ducted-v1,ducted,Điều hòa giấu trần nối ống gió
27,FBA50BVMA9,Áp suất tĩnh trung bình,NEEDS_SCHEMA_EXTENSION,Existing category is truthful; current v1 schema lacks commercial fields.,skyair-ducted-v1,ducted,Điều hòa giấu trần nối ống gió
27,FBA60BVMA9,Áp suất tĩnh trung bình,NEEDS_SCHEMA_EXTENSION,Existing category is truthful; current v1 schema lacks commercial fields.,skyair-ducted-v1,ducted,Điều hòa giấu trần nối ống gió
27,FBA71BVMA9,Áp suất tĩnh trung bình,NEEDS_SCHEMA_EXTENSION,Existing category is truthful; current v1 schema lacks commercial fields.,skyair-ducted-v1,ducted,Điều hòa giấu trần nối ống gió
27,FBFC100DVM9,Áp suất tĩnh trung bình,NEEDS_SCHEMA_EXTENSION,Existing category is truthful; current v1 schema lacks commercial fields.,skyair-ducted-v1,ducted,Điều hòa giấu trần nối ống gió
27,FBFC125DVM9,Áp suất tĩnh trung bình,NEEDS_SCHEMA_EXTENSION,Existing category is truthful; current v1 schema lacks commercial fields.,skyair-ducted-v1,ducted,Điều hòa giấu trần nối ống gió
27,FBFC140DVM9,Áp suất tĩnh trung bình,NEEDS_SCHEMA_EXTENSION,Existing category is truthful; current v1 schema lacks commercial fields.,skyair-ducted-v1,ducted,Điều hòa giấu trần nối ống gió
27,FBFC40DVM9,Áp suất tĩnh trung bình,NEEDS_SCHEMA_EXTENSION,Existing category is truthful; current v1 schema lacks commercial fields.,skyair-ducted-v1,ducted,Điều hòa giấu trần nối ống gió
27,FBFC50DVM9,Áp suất tĩnh trung bình,NEEDS_SCHEMA_EXTENSION,Existing category is truthful; current v1 schema lacks commercial fields.,skyair-ducted-v1,ducted,Điều hòa giấu trần nối ống gió
27,FBFC60DVM9,Áp suất tĩnh trung bình,NEEDS_SCHEMA_EXTENSION,Existing category is truthful; current v1 schema lacks commercial fields.,skyair-ducted-v1,ducted,Điều hòa giấu trần nối ống gió
27,FBFC71DVM9,Áp suất tĩnh trung bình,NEEDS_SCHEMA_EXTENSION,Existing category is truthful; current v1 schema lacks commercial fields.,skyair-ducted-v1,ducted,Điều hòa giấu trần nối ống gió
27,FBFC85DVM9,Áp suất tĩnh trung bình,NEEDS_SCHEMA_EXTENSION,Existing category is truthful; current v1 schema lacks commercial fields.,skyair-ducted-v1,ducted,Điều hòa giấu trần nối ống gió
24,FCC100AV1V,4 hướng thổi,NEEDS_SCHEMA_EXTENSION,Existing category is truthful; current v1 schema lacks commercial fields.,skyair-cassette-v1,cassette,Điều hòa âm trần Cassette
24,FCC125AV1V,4 hướng thổi,NEEDS_SCHEMA_EXTENSION,Existing category is truthful; current v1 schema lacks commercial fields.,skyair-cassette-v1,cassette,Điều hòa âm trần Cassette
24,FCC140AV1V,4 hướng thổi,NEEDS_SCHEMA_EXTENSION,Existing category is truthful; current v1 schema lacks commercial fields.,skyair-cassette-v1,cassette,Điều hòa âm trần Cassette
24,FCC50AV1V,4 hướng thổi,NEEDS_SCHEMA_EXTENSION,Existing category is truthful; current v1 schema lacks commercial fields.,skyair-cassette-v1,cassette,Điều hòa âm trần Cassette
24,FCC60AV1V,4 hướng thổi,NEEDS_SCHEMA_EXTENSION,Existing category is truthful; current v1 schema lacks commercial fields.,skyair-cassette-v1,cassette,Điều hòa âm trần Cassette
24,FCC85AV1V,4 hướng thổi,NEEDS_SCHEMA_EXTENSION,Existing category is truthful; current v1 schema lacks commercial fields.,skyair-cassette-v1,cassette,Điều hòa âm trần Cassette
24,FCF100CVM,Round Flow,NEEDS_SCHEMA_EXTENSION,Existing category is truthful; current v1 schema lacks commercial fields.,skyair-cassette-v1,cassette,Điều hòa âm trần Cassette
24,FCF125CVM,Round Flow,NEEDS_SCHEMA_EXTENSION,Existing category is truthful; current v1 schema lacks commercial fields.,skyair-cassette-v1,cassette,Điều hòa âm trần Cassette
